opponent,playerFullName,G_num_median,G_num_mean,GS_num_median,GS_num_mean,BA_num_median,BA_num_mean,OBP_num_median,OBP_num_mean,SLG_num_median,SLG_num_mean,P_num_median,P_num_mean,PA_num_median,PA_num_mean,AB_num_median,AB_num_mean,H_num_median,H_num_mean,1B_num_median,1B_num_mean,2B_num_median,2B_num_mean,3B_num_median,3B_num_mean,HR_num_median,HR_num_mean,R_num_median,R_num_mean,RBI_num_median,RBI_num_mean,BB_num_median,BB_num_mean,K_num_median,K_num_mean,HBP_num_median,HBP_num_mean,SB_num_median,SB_num_mean,CS_num_median,CS_num_mean,XBH_num_median,XBH_num_mean,TB_num_median,TB_num_mean,GDP_num_median,GDP_num_mean,SF_num_median,SF_num_mean,SH_num_median,SH_num_mean,playerImage,currentTeamName,teamImage
ATL,Shohei Ohtani,1,1,1,1,0.667,0.528,0.75,0.6,0.667,0.528,16,16.333333333333332,4,4.333333333333333,3,3.3333333333333335,2,1.6666666666666667,2,1.6666666666666667,0,0,0,0,0,0,0,0.33333333333333337,0,0,1,0.6666666666666666,1,1,0,0.33333333333333337,0,0.33333333333333337,0,0,0,0,2,1.6666666666666667,0,0,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/660271@2x.png,Los Angeles Dodgers,https://www.mlbstatic.com/team-logos/108.svg
ATL,Cody Bellinger,1,1,1,1,0.667,0.5668333333333333,0.7085,0.6028333333333333,0.7085,0.6778333333333333,17.5,18.166666666666668,4,4.166666666666667,3.5,3.6666666666666665,2,2,1.5,1.6666666666666667,0,0.33333333333333337,0,0,0,0,1.5,1.1666666666666667,0.5,0.5,0.5,0.5,0,0.33333333333333337,0,0,0,0.33333333333333337,0,0,0,0.33333333333333337,2.5,2.3333333333333335,0,0.16666666666666666,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/641355@2x.png,Chicago Cubs,https://www.mlbstatic.com/team-logos/112.svg
ATL,Alex Bregman,1,1,1,1,0.333,0.361,0.6,0.5333333333333333,0.333,0.44433333333333336,19,19.333333333333332,5,5,4,3.6666666666666665,1,1.3333333333333333,1,1,0,0.33333333333333337,0,0,0,0,0,0.33333333333333337,1,1,1,1.3333333333333333,0,0.33333333333333337,0,0,0,0,0,0,0,0.33333333333333337,1,1.6666666666666667,0,0,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/608324@2x.png,Houston Astros,https://www.mlbstatic.com/team-logos/117.svg
ATL,Andrew Benintendi,1,1,1,1,0.6,0.48333333333333334,0.6,0.48333333333333334,0.6,0.55,15,15,5,4.666666666666667,5,4.666666666666667,3,2.3333333333333335,2,2,0,0.33333333333333337,0,0,0,0,1,1.3333333333333333,1,1.3333333333333333,0,0,0,0.33333333333333337,0,0,0,0,0,0,0,0.33333333333333337,3,2.6666666666666665,0,0,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/643217@2x.png,Chicago White Sox,https://www.mlbstatic.com/team-logos/145.svg
ATL,Bobby Witt Jr.,1,1,1,1,0.6,0.45,0.6,0.45,0.75,0.5833333333333334,14,13.666666666666666,5,4.666666666666667,5,4.666666666666667,3,2,1,1.3333333333333333,0,0.6666666666666667,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.6666666666666667,3,2.6666666666666665,0,0.33333333333333337,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/677951@2x.png,Kansas City Royals,https://www.mlbstatic.com/team-logos/118.svg
ATL,Paul Goldschmidt,1,1,1,1,0.4165,0.3471666666666667,0.6,0.55,0.4165,0.5971666666666666,20,19.833333333333332,4.5,4.5,4,3.3333333333333335,1.5,1.3333333333333333,1,1,0,0,0,0,0,0.33333333333333337,0.5,0.6666666666666667,0.5,0.6666666666666667,1,1,1,1,0,0.16666666666666666,0,0,0,0,0,0.33333333333333337,1.5,2.3333333333333335,0,0.16666666666666669,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/502671@2x.png,St. Louis Cardinals,https://www.mlbstatic.com/team-logos/138.svg
ATL,Yandy Díaz,1,1,1,1,0.6,0.6166666666666667,0.6,0.6166666666666667,0.75,0.8833333333333333,17,16.666666666666668,4,4.333333333333333,4,4.333333333333333,3,2.6666666666666665,2,2,0,0.33333333333333337,0,0,0,0.33333333333333337,0,0.6666666666666667,0,1.3333333333333335,0,0,1,1,0,0,0,0,0,0.33333333333333337,0,0.6666666666666667,3,4,0,0.33333333333333337,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/650490@2x.png,Tampa Bay Rays,https://www.mlbstatic.com/team-logos/139.svg
ATL,Justin Turner,1,1,1,1,0.5,0.5,0.55,0.5875,0.625,0.89575,19.5,19.25,4,4.25,3,3,1.5,1.5,1,0.75,0.5,0.5,0,0,0,0.25,1.5,1.25,1,1,1,1,0.5,0.5,0,0,0,0,0,0,0.5,0.75,2,2.75,0,0,0,0.25,0,0,https://content.mlb.com/images/headshots/current/60x60/457759@2x.png,Toronto Blue Jays,https://www.mlbstatic.com/team-logos/111.svg
ATL,Adolis García,1,1,1,1,0.333,0.2776666666666667,0.5,0.3333333333333333,1.333,1.111,12,13.666666666666666,4,3.6666666666666665,3,3.3333333333333335,1,1,0,0,0,0,0,0,1,1,2,1.3333333333333333,2,1.3333333333333333,0,0.33333333333333337,1,1.3333333333333333,0,0,0,0,0,0,1,1,4,4,0,0.33333333333333337,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/666969@2x.png,Texas Rangers,https://www.mlbstatic.com/team-logos/140.svg
ATL,Amed Rosario,1,1,1,0.7142857142857143,0.4,0.35714285714285715,0.5,0.45714285714285713,0.4,0.6142857142857143,16,14.857142857142858,4,3.7142857142857144,4,3.4285714285714284,1,1.1428571428571428,0,0.7142857142857142,0,0.2857142857142857,0,0,0,0.14285714285714288,0,0.28571428571428575,0,1,0,0.2857142857142857,1,0.8571428571428571,0,0,0,0.2857142857142857,0,0,0,0.42857142857142855,2,1.857142857142857,0,0,0,0,0,0,https://content.mlb.com/images/headshots/current/60x60/642708@2x.png,Tampa Bay Rays,https://www.mlbstatic.com/team-logos/114.svg
